Nome,URL da Imagem,Sede,Cor Primária,URL,Estado,Regiao
Fortaleza Tritões,https://www.salaooval.com.br/wp-content/uploads/2018/02/ce_fortaleza_tritoes.png,,#044381,https://www.salaooval.com.br/equipe/fortaleza-tritoes/,,
Foz do Iguaçu Black Sharks,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_foz_do_iguacu_black_sharks.png,Foz do Iguaçu/PR,#010101,https://www.salaooval.com.br/times/foz-do-iguacu-black-sharks/,PR,sul
Franca Carrascos,https://www.salaooval.com.br/wp-content/uploads/2017/08/sp_franca_carrascos.png,,#210941,https://www.salaooval.com.br/equipe/franca-carrascos/,,
Francisco Beltrão Red Feet,https://www.salaooval.com.br/wp-content/uploads/2016/06/pr_fco_beltrao_red_feet.png,Francisco Beltrão/PR,#020202,https://www.salaooval.com.br/times/francisco-beltrao-red-feet/,PR,sul
Galaxy Football,https://www.salaooval.com.br/wp-content/uploads/2018/03/mt_galaxy_football.png,,#080834,https://www.salaooval.com.br/equipe/galaxy-football/,,
Sada Cruzeiro/Galo FA,https://www.salaooval.com.br/wp-content/uploads/2018/12/mg_galo_fa_alt.png,Belo Horizonte/MG,#010101,https://www.salaooval.com.br/times/galo-fa/,MG,sudeste
Goiânia Guarás,https://www.salaooval.com.br/wp-content/uploads/2017/05/go_goiania_guaras.png,,#b66534,https://www.salaooval.com.br/equipe/goiania-guaras/,,
Goiânia Saints,https://www.salaooval.com.br/wp-content/uploads/2018/05/go_goiania_saints-1.png,,#f0c317,https://www.salaooval.com.br/equipe/goiania-saints/,,
Goiânia Rednecks,https://www.salaooval.com.br/wp-content/uploads/2019/02/go_goiania_rednecks_alt.png,Goiânia/GO,#121f54,https://www.salaooval.com.br/times/goiania-rednecks/,GO,centro-oeste
Gravataí Spartans,https://www.salaooval.com.br/wp-content/uploads/2017/12/rs_gravatai_spartans.png,,#26040b,https://www.salaooval.com.br/equipe/gravatai-spartans/,,
Guarani Indians,https://www.salaooval.com.br/wp-content/uploads/2021/12/sp_guarani_indians_alt.png,Paulínia/SP,#033b2b,https://www.salaooval.com.br/times/guarani-indians/,SP,sudeste
Guarapuava DarkWolves,https://www.salaooval.com.br/wp-content/uploads/2017/09/pr_guarapuava_darkwolves.png,,#0d0d0e,https://www.salaooval.com.br/equipe/guarapuava-darkwolves/,,
Ijuí Drones,https://www.salaooval.com.br/wp-content/uploads/2016/05/rs_ijui_drones.png,Ijuí/RS,#1f1a1a,https://www.salaooval.com.br/times/ijui-drones/,RS,sul
Tomahawk Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2020/02/sp_independente_tomahawk.png,,#130d0c,https://www.salaooval.com.br/times/tomahawk-fa/,,
Itaiópolis Xoklengs,https://www.salaooval.com.br/wp-content/uploads/2016/07/sc_itaiopolis_xocklangs.png,,#fab513,https://www.salaooval.com.br/equipe/itaiopolis-xoklengs/,,
Jacareí Gators,https://www.salaooval.com.br/wp-content/uploads/2018/06/sp_jacarei_gators-1.png,,#027184,https://www.salaooval.com.br/equipe/jacarei-gators/,,
Jaraguá Breakers,https://www.salaooval.com.br/wp-content/uploads/2018/12/sc_jaragua_breakers_alt.png,Jaraguá/SC,#041935,https://www.salaooval.com.br/times/jaragua-breakers/,SC,sul
João Pessoa Espectros,https://www.salaooval.com.br/wp-content/uploads/2019/02/pb_joao_pessoa_espectros_Alt.png,João Pessoa/PB,#c61e24,https://www.salaooval.com.br/times/joao-pessoa-espectros/,PB,nordeste
JEC Gladiators,https://www.salaooval.com.br/wp-content/uploads/2016/05/sc_joinville_gladiators.png,Joinville/SC,#121010,https://www.salaooval.com.br/times/joinville-gladiators/,SC,sul
Juiz de Fora Imperadores,https://www.salaooval.com.br/wp-content/uploads/2020/03/mg_juiz_de_fora_imperadores_alt.png,Juiz de Fora/MG,#030100,https://www.salaooval.com.br/times/juiz-de-fora-imperadores/,MG,sudeste
União da Serra/Juventude FA,https://www.salaooval.com.br/wp-content/uploads/2022/02/rs_uniao_da_serra.png,Farroupilha/RS,#00d700,https://www.salaooval.com.br/times/uniao-da-serra/,RS,sul
Legião Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2016/08/pa_legiao_fa.png,Belém/PA,#000001,https://www.salaooval.com.br/times/legiao-fa/,PA,norte
Gama Leões de Judá,https://www.salaooval.com.br/wp-content/uploads/2022/02/df_gama_leoes_de_juda.png,Taguatinga/DF,#036f51,https://www.salaooval.com.br/times/leoes-de-juda/,DF,centro-oeste
Lobos FA,https://www.salaooval.com.br/wp-content/uploads/2019/03/am_lobos_fa.png,,#2f3d56,https://www.salaooval.com.br/equipe/lobos-fa/,,
Lucas do Rio Verde Jaguars,https://www.salaooval.com.br/wp-content/uploads/2018/03/mt_lucas_rio_verde_jaguars.png,,#110a08,https://www.salaooval.com.br/equipe/lucas-do-rio-verde-jaguars/,,
Londrina Bristlebacks,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_londrina_bristlebacks.png,Londrina/PR,#1e1819,https://www.salaooval.com.br/times/londrina-bristlebacks/,PR,sul
Macaé Oilers,https://www.salaooval.com.br/wp-content/uploads/2016/06/rj_macae_oilers.png,Macaé/RJ,#08171f,https://www.salaooval.com.br/times/macae-oilers/,RJ,sudeste
Maceió Marechais,https://www.salaooval.com.br/wp-content/uploads/2016/05/al_maceio_marechais.png,Maceió/AL,#021a30,https://www.salaooval.com.br/times/maceio-marechais/,AL,nordeste
Magé Barões,https://www.salaooval.com.br/wp-content/uploads/2016/06/rj_mage_baroes.png,,#030706,https://www.salaooval.com.br/equipe/mage-baroes/,,
Mamutes FA,https://www.salaooval.com.br/wp-content/uploads/2016/10/rj_mamutes_fa.png,,#0e0706,https://www.salaooval.com.br/equipe/mamutes-fa/,,
Manaus Cavaliers,https://www.salaooval.com.br/wp-content/uploads/2016/07/am_manaus_cavaliers.png,Manaus/AM,#1a191a,https://www.salaooval.com.br/times/manaus-cavaliers/,AM,norte
Manaus Raptors,https://www.salaooval.com.br/wp-content/uploads/2017/03/am_manaus_raptors_alt.png,,#000000,https://www.salaooval.com.br/equipe/manaus-raptors/,,
Maringá Pyros,https://www.salaooval.com.br/wp-content/uploads/2018/02/pr_maringa_pyros.png,Maringá/PR,#1e130e,https://www.salaooval.com.br/times/maringa-pyros/,PR,sul
Matias Barbosa Primatas,https://www.salaooval.com.br/wp-content/uploads/2018/09/mg_matias_barbosa_primatas.png,,#010101,https://www.salaooval.com.br/equipe/matias-barbosa-primatas/,,
Miners Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2016/05/sc_miners_fa.png,Criciúma/SC,#3c3233,https://www.salaooval.com.br/times/miners-fa/,SC,sul
Monte Alto Rippers,https://www.salaooval.com.br/wp-content/uploads/2017/08/sp_monte_alto_rippers.png,,#222223,https://www.salaooval.com.br/equipe/monte-alto-rippers/,,
Mooca Destroyers,https://www.salaooval.com.br/wp-content/uploads/2016/07/sp_mooca_destroyers.png,São Paulo/SP,#6b0531,https://www.salaooval.com.br/times/mooca-destroyers/,SP,sudeste
Moon Howlers FA,https://www.salaooval.com.br/wp-content/uploads/2017/02/pr_moon_howlers.png,,#010100,https://www.salaooval.com.br/equipe/moon-howlers-fa/,,
New Tigers,https://www.salaooval.com.br/wp-content/uploads/2019/05/pa_new_tigers.png,,#070304,https://www.salaooval.com.br/equipe/new-tigers/,,
Norte Paraná,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_norte_parana.png,,#534940,https://www.salaooval.com.br/equipe/norte-parana/,,
North Lions,https://www.salaooval.com.br/wp-content/uploads/2016/07/am_north_lions.png,,#010100,https://www.salaooval.com.br/equipe/north-lions/,,
Nova Friburgo Yetis,https://www.salaooval.com.br/wp-content/uploads/2016/06/rj_nova_friburgo_yetis.png,,#171516,https://www.salaooval.com.br/equipe/nova-friburgo-yetis/,,
Nova Iguaçu FA,https://www.salaooval.com.br/wp-content/uploads/2018/10/rj_nova_iguacu_fa.png,,#010000,https://www.salaooval.com.br/equipe/nova-iguacu-fa/,,
Nova Serrana Forgeds,https://www.salaooval.com.br/wp-content/uploads/2017/09/mg_nova_serrana_forgeds_alt.png,,#00b006,https://www.salaooval.com.br/times/nova-serrana-forgeds/,,
Ocelots Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2017/01/sp_ocelots_football.png,Jundiaí/SP,#070504,https://www.salaooval.com.br/times/ocelots-fa/,SP,sudeste
Orange Machine,https://www.salaooval.com.br/wp-content/uploads/2018/06/sp_orange_machine.png,,#fc732d,https://www.salaooval.com.br/equipe/orange-machine/,,
Osasco Soldiers,https://www.salaooval.com.br/wp-content/uploads/2016/06/sp_osasco_soldiers.png,,#580f0d,https://www.salaooval.com.br/equipe/osasco-soldiers/,,
Palmeiras Locomotives,https://www.salaooval.com.br/wp-content/uploads/2018/02/sp_palmeiras_locomotives.png,São Paulo/SP,#064e2d,https://www.salaooval.com.br/times/palmeiras-locomotives/,SP,sudeste
Palotina Celtics,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_palotina_celtics.png,,#01a548,https://www.salaooval.com.br/equipe/palotina-celtics/,,
Paraíso Miners,https://www.salaooval.com.br/wp-content/uploads/2017/01/mg_paraiso_miners-2.png,,#171717,https://www.salaooval.com.br/equipe/paraiso-miners/,,
Paraná HP,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_parana_hp-1.png,Curitiba/PR,#00eb4c,https://www.salaooval.com.br/times/parana-hp/,PR,sul
Passos Madbulls,https://www.salaooval.com.br/wp-content/uploads/2017/08/mg_passos_madbulls.png,,#262124,https://www.salaooval.com.br/equipe/passos-madbulls/,,
Patos FA,https://www.salaooval.com.br/wp-content/uploads/2019/04/pb_patos_fa.png,,#06073a,https://www.salaooval.com.br/equipe/patos-fa/,,
Paysandu Lobos,https://www.salaooval.com.br/wp-content/uploads/2018/03/pa_paysandu_lobos.png,,#0189c2,https://www.salaooval.com.br/equipe/paysandu-lobos/,,
Piracicaba Cane Cutters,https://www.salaooval.com.br/wp-content/uploads/2016/07/sp_piracicaba_cane_cutters.png,Piracicaba/SP,#05396d,https://www.salaooval.com.br/times/piracicaba-cane-cutters/,SP,sudeste
Pirajuí Golden Warriors,https://www.salaooval.com.br/wp-content/uploads/2019/07/sp_pirajui_golden_warriors.png,,#030101,https://www.salaooval.com.br/equipe/pirajui-golden-warriors/,,
Piratas da Serra,https://www.salaooval.com.br/wp-content/uploads/2017/01/mg_piratas_da_serra.png,,#60176c,https://www.salaooval.com.br/equipe/piratas-da-serra/,,
Ponte Preta Gorilas,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_ponte_preta_gorilas.png,,#010101,https://www.salaooval.com.br/times/ponte-preta-gorilas/,,
Porto Alegre Gorillas,https://www.salaooval.com.br/wp-content/uploads/2016/12/rs_porto_alegre_gorillas-1.png,,#2e054e,https://www.salaooval.com.br/equipe/porto-alegre-gorillas/,,
Pouso Alegre Gladiadores,https://www.salaooval.com.br/wp-content/uploads/2022/07/mg_pouso_alegre_gladiatores.png,Pouso Alegre/MG,#d22128,https://www.salaooval.com.br/times/pouso-alegre-gladiadores/,MG,sudeste
Prudente Thunders,https://www.salaooval.com.br/wp-content/uploads/2019/02/sp_prudente_thunder-1.png,,#090808,https://www.salaooval.com.br/equipe/prudente-thunders/,,
Recife Apaches,https://www.salaooval.com.br/wp-content/uploads/2017/02/pe_recife_apaches.png,Recife/PE,#44140f,https://www.salaooval.com.br/times/recife-apaches/,PE,nordeste
Recife Horses,https://www.salaooval.com.br/wp-content/uploads/2016/05/pe_recife_horses.png,Recife/PE,#ff0000,https://www.salaooval.com.br/times/recife-horses/,PE,nordeste
Recife Mariners,https://www.salaooval.com.br/wp-content/uploads/2017/03/pe_recife_mariners.png,Recife/PE,#005daa,https://www.salaooval.com.br/times/recife-mariners/,PE,nordeste
Santa Cruz Pirates,https://www.salaooval.com.br/wp-content/uploads/2022/02/pe_santa_cruz_pirates.png,Recife/PE,#030202,https://www.salaooval.com.br/times/recife-pirates/,PE,nordeste
Recife Vikings,https://www.salaooval.com.br/wp-content/uploads/2017/08/pe_recife_vikings.png,,#230307,https://www.salaooval.com.br/equipe/recife-vikings/,,
Remo Lions,https://www.salaooval.com.br/wp-content/uploads/2017/03/pa_remo_lions-2.png,,#0d182e,https://www.salaooval.com.br/equipe/remo-lions/,,
Rio de Janeiro Islanders,https://www.salaooval.com.br/wp-content/uploads/2016/06/rj_rio_de_janeiro_islanders.png,,#1f2057,https://www.salaooval.com.br/equipe/rio-de-janeiro-islanders/,,
Rio Preto Weilers,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_rio_preto_weillers.png,São José do Rio Preto/SP,#000000,https://www.salaooval.com.br/times/rio-preto-weilers/,SP,sudeste
Roma Gladiadores,https://www.salaooval.com.br/wp-content/uploads/2022/02/ce_roma_gladiadores_alt.png,Fortaleza/CE,#170e0d,https://www.salaooval.com.br/times/roma-gladiadores/,CE,nordeste
Rondonópolis Hawks,https://www.salaooval.com.br/wp-content/uploads/2019/08/mt_rondonopolis_hawks_alt.png,Rondonópolis/MT,#081e42,https://www.salaooval.com.br/times/rondonopolis-hawks/,MT,centro-oeste
Santa Cruz Chacais,https://www.salaooval.com.br/wp-content/uploads/2019/03/rs_santa_cruz_chacais_alt.png,Santa Cruz do Sul/RS,#0b1533,https://www.salaooval.com.br/times/santa-cruz-chacais/,RS,sul
Santa Maria Soldiers,https://www.salaooval.com.br/wp-content/uploads/2019/02/rs_santa_maria_soldiers_alt.png,Santa Maria/RS,#181815,https://www.salaooval.com.br/times/santa-maria-soldiers/,RS,sul
Santana Red Bulls,https://www.salaooval.com.br/wp-content/uploads/2018/01/ba_santana_red_bulls.png,,#07170a,https://www.salaooval.com.br/equipe/santana-red-bulls/,,
Santos Tsunami,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_santos_tsunami.png,Santos/SP,#0a090a,https://www.salaooval.com.br/times/santos-tsunami/,SP,sudeste
São Bento Snakes,https://www.salaooval.com.br/wp-content/uploads/2018/02/pb_sao_bento_snakes.png,,#997b52,https://www.salaooval.com.br/equipe/sao-bento-snakes/,,
São Bernardo Avengers,https://www.salaooval.com.br/wp-content/uploads/2018/06/sp_sao_bernardo_avengers-1.png,,#020200,https://www.salaooval.com.br/equipe/sao-bernardo-avengers/,,
São José Jets,https://www.salaooval.com.br/wp-content/uploads/2016/07/sp_sao_jose_jets-1.png,,#0a2746,https://www.salaooval.com.br/equipe/sao-jose-jets/,,
São Luís Sharks,https://www.salaooval.com.br/wp-content/uploads/2016/05/ma_sao_luiz_sharks_2.png,São Luís/MA,#08005b,https://www.salaooval.com.br/times/sao-luis-sharks/,MA,nordeste
São Miguel Indians,https://www.salaooval.com.br/wp-content/uploads/2016/06/sc_sao_miguel_indians.png,,#7e1217,https://www.salaooval.com.br/equipe/sao-miguel-indians/,,
São Paulo Panthers,https://www.salaooval.com.br/wp-content/uploads/2019/06/sp_sao_paulo_panthers.png,,#020304,https://www.salaooval.com.br/equipe/sao-paulo-panthers/,,
São Paulo Storm,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_sao_paulo_storm.png,São Paulo/SP,#004479,https://www.salaooval.com.br/times/sao-paulo-storm/,SP,sudeste
São Roque Fighters,https://www.salaooval.com.br/wp-content/uploads/2017/09/sp_sao_roque_fighters.png,,#070707,https://www.salaooval.com.br/equipe/sao-roque-fighters/,,
Sergipe Redentores,https://www.salaooval.com.br/wp-content/uploads/2016/05/se_sergipe_redentores.png,Aracaju/SE,#313131,https://www.salaooval.com.br/times/sergipe-redentores/,SE,nordeste
Sertãozinho Bullcaners,https://www.salaooval.com.br/wp-content/uploads/2018/09/sp_sertaozinho_bullcaners.png,,#cb333a,https://www.salaooval.com.br/equipe/sertaozinho-bullcaners/,,
Sinop Coyotes,https://www.salaooval.com.br/wp-content/uploads/2019/08/mt_sinop_coyotes_alt.png,Sinop/MT,#1e1e1f,https://www.salaooval.com.br/times/sinop-coyotes/,MT,centro-oeste
Sorocaba Vipers,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_sorocaba_vipers-1.png,Sorocaba/SP,#540079,https://www.salaooval.com.br/times/sorocaba-vipers/,SP,sudeste
Sorriso Hornets,https://www.salaooval.com.br/wp-content/uploads/2022/04/mt_sorriso_hornets_alt.png,Sorriso/MT,#343132,https://www.salaooval.com.br/times/sorriso-hornets/,MT,centro-oeste
Spartans Football,https://www.salaooval.com.br/wp-content/uploads/2023/01/sp_six_spartans.png,São Paulo/SP,#000000,https://www.salaooval.com.br/times/spartans-football/,SP,sudeste
Street Dogs FA,https://www.salaooval.com.br/wp-content/uploads/2018/02/pr_street_dogs_fa.png,,#1c1f3f,https://www.salaooval.com.br/equipe/street-dogs-fa/,,
Tatuapé Black Panthers,https://www.salaooval.com.br/wp-content/uploads/2017/05/sp_tatuape_black_panthers.png,,#040303,https://www.salaooval.com.br/equipe/tatuape-black-panthers/,,
Timbó Rex,https://www.salaooval.com.br/wp-content/uploads/2018/12/sc_timbo_rex_alt.png,Timbó/SC,#000000,https://www.salaooval.com.br/times/timbo-rex/,SC,sul
Tritões Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2022/02/es_tritoes_alt.png,Vila Velha/ES,#fb381b,https://www.salaooval.com.br/times/tritoes-fa/,ES,sudeste
Tropa Campina,https://www.salaooval.com.br/wp-content/uploads/2016/06/pb_tropa_campina.png,Campina Grande/PB,#014a29,https://www.salaooval.com.br/times/tropa-campina/,PB,nordeste
Tubarão Predadores,https://www.salaooval.com.br/wp-content/uploads/2018/01/sc_tubarao_predadores.png,,#6b889b,https://www.salaooval.com.br/equipe/tubarao-predadores/,,
Tubarões do Cerrado,https://www.salaooval.com.br/wp-content/uploads/2016/05/df_tubaroes_do_cerrado-1.png,Brasília/DF,#214684,https://www.salaooval.com.br/times/tubaroes-do-cerrado/,DF,centro-oeste
Uberaba Zebus,https://www.salaooval.com.br/wp-content/uploads/2016/05/mg_uberaba_zebus-1.png,,#0c0709,https://www.salaooval.com.br/equipe/uberaba-zebus/,,
Uberlândia Lobos,https://www.salaooval.com.br/wp-content/uploads/2019/08/mg_uberlandia_lobos_alt.png,,#01246c,https://www.salaooval.com.br/times/uberlandia-lobos/,,
UFERSA Petroleiros,https://www.salaooval.com.br/wp-content/uploads/2016/06/rn_ufersa_petroleiros.png,Mossoró/RN,#0e0200,https://www.salaooval.com.br/times/ufersa-petroleiros/,RN,nordeste
União Snakes,https://www.salaooval.com.br/wp-content/uploads/2018/02/pr_uniao_snakes_alt.png,,#0c028f,https://www.salaooval.com.br/equipe/uniao-snakes/,,
Vasco Almirantes,https://www.salaooval.com.br/wp-content/uploads/2019/01/rj_vasco_almirantes_alt.png,Rio de Janeiro/RJ,#000000,https://www.salaooval.com.br/times/vasco-almirantes/,RJ,sudeste
Viamão Raptors,https://www.salaooval.com.br/wp-content/uploads/2016/12/rs_viamao_raptors.png,,#010000,https://www.salaooval.com.br/equipe/viamao-raptors/,,
Lobo Vingador,https://www.salaooval.com.br/wp-content/uploads/2022/03/pa_lobo_vingador.png,Belém/PA,#0a0809,https://www.salaooval.com.br/times/vingadores-fa/,PA,norte
Lobos Guerreiros,https://www.salaooval.com.br/wp-content/uploads/2018/03/am_lobos_guerreiros.png,,#0a0d16,https://www.salaooval.com.br/equipe/lobos-guerreiros/,,
Outland Soldiers,https://www.salaooval.com.br/wp-content/uploads/2016/08/pa_outland_soldiers.png,,#fdb600,https://www.salaooval.com.br/equipe/outland-soldiers/,,
Xingu FA,https://www.salaooval.com.br/wp-content/uploads/2016/08/pa_xingu_fa.png,,#f1c733,https://www.salaooval.com.br/equipe/xingu-fa/,,
Santa Maria Bulldogs,https://www.salaooval.com.br/wp-content/uploads/2017/09/df_santa_maria_bulldogs.png,,#010000,https://www.salaooval.com.br/equipe/santa-maria-bulldogs/,,
Campo Grande Gravediggers,https://www.salaooval.com.br/wp-content/uploads/2016/05/ms_operario_gravediggers.png,,#040404,https://www.salaooval.com.br/equipe/campo-grande-gravediggers/,,
Patos Red Dragons,https://www.salaooval.com.br/wp-content/uploads/2018/02/pb_patos_red_dragons.png,,#3e3236,https://www.salaooval.com.br/equipe/patos-red-dragons/,,
Olinda Sharks,https://www.salaooval.com.br/wp-content/uploads/2016/06/pe_olinda_sharks.png,Olinda/PE,#0d4440,https://www.salaooval.com.br/times/olinda-sharks/,PE,nordeste
Angra Destroyers,https://www.salaooval.com.br/wp-content/uploads/2016/10/rj_destroyers_fa.png,,#fd5d07,https://www.salaooval.com.br/equipe/destroyers-fa/,,
Fluminense FA,https://www.salaooval.com.br/wp-content/uploads/2017/05/rj_fluminense_guerreiros.png,Rio de Janeiro/RJ,#860926,https://www.salaooval.com.br/times/fluminense-fa/,RJ,sudeste
