Data,Mandante,Hor/Res,Visitante,Fase,Torneio,Campo,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2008-10-25 14:00:00,Brown Spiders,33 - 10,Coritiba Crocodiles,,Amistoso,,33,10,Brown Spiders, - 
2009-08-07 14:00:00,JEC Gladiators,08 - 21,Brown Spiders,,Torneio Touchdown 2009,,8,21,Brown Spiders,Brown Spiders
2009-08-22 14:00:00,Brown Spiders,20 - 23,Coritiba Crocodiles,,Torneio Touchdown 2009,,20,23,Coritiba Crocodiles,Brown Spiders
2009-09-12 14:00:00,Coritiba Crocodiles,31 - 21,JEC Gladiators,,Torneio Touchdown 2009,,31,21,Coritiba Crocodiles,Coritiba Crocodiles
2009-10-11 14:00:00,Coritiba Crocodiles,12 - 20,Brown Spiders,,Torneio Touchdown 2009,,12,20,Brown Spiders,Coritiba Crocodiles
2009-11-07 14:00:00,Brown Spiders,00 - 12,JEC Gladiators,,Torneio Touchdown 2009,,0,12,JEC Gladiators,Brown Spiders
2009-11-10 14:00:00,Istepôs FA,00 - 28,JEC Gladiators,,Campeonato Catarinense 2009,,0,28,JEC Gladiators,JEC Gladiators
2009-11-15 14:00:00,JEC Gladiators,41 - 06,Brusque Admirals,,Campeonato Catarinense 2009,,41,6,JEC Gladiators,JEC Gladiators
2009-12-12 14:00:00,JEC Gladiators,21 - 14,Istepôs FA,,Campeonato Catarinense 2009,,21,14,JEC Gladiators,JEC Gladiators
2010-04-07 14:00:00,JEC Gladiators,21 - 16,Jaraguá Breakers,,Campeonato Catarinense 2010,,21,16,JEC Gladiators,JEC Gladiators
2010-05-02 14:00:00,JEC Gladiators,51 - 06,Corupá Buffalos,,Campeonato Catarinense 2010,,51,6,JEC Gladiators,JEC Gladiators
2010-05-15 14:00:00,Jaraguá Breakers,07 - 54,JEC Gladiators,,Campeonato Catarinense 2010,,7,54,JEC Gladiators,JEC Gladiators
2010-05-23 14:00:00,Timbó Rex,00 - 28,JEC Gladiators,,Campeonato Catarinense 2010,,0,28,JEC Gladiators,JEC Gladiators
2010-05-30 14:00:00,JEC Gladiators,81 - 00,Tubarão Predadores,,Campeonato Catarinense 2010,,81,0,JEC Gladiators,JEC Gladiators
2010-06-13 14:00:00,Corupá Buffalos,14 - 35,JEC Gladiators,,Campeonato Catarinense 2010,,14,35,JEC Gladiators,JEC Gladiators
2010-06-27 14:00:00,JEC Gladiators,27 - 00,Timbó Rex,,Campeonato Catarinense 2010,,27,0,JEC Gladiators,JEC Gladiators
2010-07-10 14:00:00,Blumenau Riesen,00 - 33,JEC Gladiators,,Campeonato Catarinense 2010,,0,33,JEC Gladiators,JEC Gladiators
2010-08-01 14:00:00,JEC Gladiators,12 - 00,Timbó Rex,,Campeonato Catarinense 2010,,12,0,JEC Gladiators,JEC Gladiators
2010-08-15 14:00:00,JEC Gladiators,20 - 07,Istepôs FA,,Campeonato Catarinense 2010,,20,7,JEC Gladiators,JEC Gladiators
2010-08-21 14:00:00,Timbó Rex,27 - 34,JEC Gladiators,,Liga Brasileira 2010,Timbó/SC,27,34,JEC Gladiators,JEC Gladiators
2010-09-11 14:00:00,Coritiba Crocodiles,35 - 08,JEC Gladiators,,Liga Brasileira 2010,Balsa Nova/PR,35,8,Coritiba Crocodiles,JEC Gladiators
2010-10-09 14:00:00,Timbó Rex,00 - 49,Coritiba Crocodiles,,Liga Brasileira 2010,Timbó/SC,0,49,Coritiba Crocodiles,Coritiba Crocodiles
2010-10-23 14:00:00,Coritiba Crocodiles,24 - 00,Porto Alegre Pumpkins,,Liga Brasileira 2010,Balsa Nova/PR,24,0,Coritiba Crocodiles,Coritiba Crocodiles
2010-11-13 14:00:00,JEC Gladiators,22 - 17,Coritiba Crocodiles,,Liga Brasileira 2010,Joinville/SC,22,17,JEC Gladiators,Coritiba Crocodiles
2010-11-27 14:00:00,Foz do Iguaçu Black Sharks,12 - 22,JEC Gladiators,,Liga Brasileira 2010,,12,22,JEC Gladiators,JEC Gladiators
2010-12-04 14:00:00,Coritiba Crocodiles,19 - 13,JEC Gladiators,,Liga Brasileira 2010,,19,13,Coritiba Crocodiles,JEC Gladiators
2010-12-18 15:00:00,Cuiabá Arsenal,49 - 21,Coritiba Crocodiles,,Liga Brasileira 2010,,49,21,Cuiabá Arsenal,Coritiba Crocodiles
2011-07-16 14:00:00,Cuiabá Arsenal,10 - 09,São Paulo Storm,,Liga Brasileira 2011,Cuiabá/MT,10,9,Cuiabá Arsenal,Cuiabá Arsenal
2011-08-06 14:00:00,Spartans Football,14 - 41,Cuiabá Arsenal,,Liga Brasileira 2011,Jaú/SP,14,41,Cuiabá Arsenal,Cuiabá Arsenal
2011-09-03 14:00:00,JEC Gladiators,25 - 22,Cuiabá Arsenal,,Liga Brasileira 2011,Joinville/SC,25,22,JEC Gladiators,Cuiabá Arsenal
2011-09-18 14:00:00,JEC Gladiators,21 - 41,Coritiba Crocodiles,,Liga Brasileira 2011,Joinville/SC,21,41,Coritiba Crocodiles,JEC Gladiators
2011-10-08 14:00:00,Istepôs FA,13 - 26,Coritiba Crocodiles,,Liga Brasileira 2011,São José/SC,13,26,Coritiba Crocodiles,Coritiba Crocodiles
2011-10-22 14:00:00,Santa Cruz Chacais,00 - 34,Coritiba Crocodiles,,Liga Brasileira 2011,Santa Cruz do Sul/RS,0,34,Coritiba Crocodiles,Coritiba Crocodiles
2011-11-06 14:00:00,Coritiba Crocodiles,20 - 14,Brown Spiders,,Liga Brasileira 2011,,20,14,Coritiba Crocodiles,Coritiba Crocodiles
2011-11-20 14:30:00,Coritiba Crocodiles,17 - 09,JEC Gladiators,,Liga Brasileira 2011,,17,9,Coritiba Crocodiles,Coritiba Crocodiles
2011-12-10 14:00:00,Coritiba Crocodiles,07 - 14,Flamengo Imperadores,,Liga Brasileira 2011,,7,14,Flamengo Imperadores,Coritiba Crocodiles
2012-07-14 14:00:00,Flamengo Imperadores,49 - 00,Cabritos FA,,Campeonato Brasileiro 2012,Rio de Janeiro/RJ,49,0,Flamengo Imperadores,Flamengo Imperadores
2012-07-28 14:00:00,Locomotiva FA,15 - 22,Flamengo Imperadores,,Campeonato Brasileiro 2012,Belo Horizonte/MG,15,22,Flamengo Imperadores,Flamengo Imperadores
2012-08-26 14:00:00,Flamengo Imperadores,44 - 19,Spartans Football,,Campeonato Brasileiro 2012,Estádio Ronaldo Nazário - Rio de Janeiro/RJ,44,19,Flamengo Imperadores,Flamengo Imperadores
2012-09-15 14:00:00,Brasil Devilz,07 - 47,Flamengo Imperadores,,Campeonato Brasileiro 2012,Barueri/SP,7,47,Flamengo Imperadores,Flamengo Imperadores
2012-09-22 14:00:00,Flamengo Imperadores,09 - 26,Locomotiva FA,,Campeonato Brasileiro 2012,Rio de Janeiro/RJ,9,26,Locomotiva FA,Flamengo Imperadores
2012-10-21 14:00:00,São Paulo Storm,49 - 00,Locomotiva FA,,Campeonato Brasileiro 2012,,49,0,São Paulo Storm,Locomotiva FA
2012-10-27 14:00:00,Flamengo Imperadores,25 - 20,São Paulo Storm,,Campeonato Brasileiro 2012,,25,20,Flamengo Imperadores,São Paulo Storm
2012-11-11 14:00:00,Flamengo Imperadores,15 - 17,Coritiba Crocodiles,,Campeonato Brasileiro 2012,,15,17,Coritiba Crocodiles,Flamengo Imperadores
2012-11-24 14:00:00,Cuiabá Arsenal,31 - 23,Coritiba Crocodiles,,Campeonato Brasileiro 2012,,31,23,Cuiabá Arsenal,Coritiba Crocodiles
2013-06-29 14:00:00,Cuiabá Arsenal,57 - 00,Sinop Coyotes,,Campeonato Brasileiro 2013,Cuiabá/MT,57,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-07-13 14:00:00,Rio Preto Weilers,00 - 46,Cuiabá Arsenal,,Campeonato Brasileiro 2013,São José do Rio Preto/SP,0,46,Cuiabá Arsenal,Cuiabá Arsenal
2013-07-27 14:00:00,Sinop Coyotes,07 - 48,Cuiabá Arsenal,,Campeonato Brasileiro 2013,Sinop/MT,7,48,Cuiabá Arsenal,Cuiabá Arsenal
2013-08-10 14:00:00,Cuiabá Arsenal,42 - 00,Brasil Devilz,,Campeonato Brasileiro 2013,Cuiabá/MT,42,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-08-25 14:00:00,Jacarés do Pantanal,00 - 58,Cuiabá Arsenal,,Campeonato Brasileiro 2013,Campo Grande/MS,0,58,Cuiabá Arsenal,Cuiabá Arsenal
2013-09-07 14:00:00,Cuiabá Arsenal,93 - 00,Jacarés do Pantanal,,Campeonato Brasileiro 2013,Cuiabá/MT,93,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-10-12 14:00:00,Cuiabá Arsenal,13 - 16,Istepôs FA,,Campeonato Brasileiro 2013,,13,16,Istepôs FA,Cuiabá Arsenal
2013-11-23 14:00:00,Coritiba Crocodiles,13 - 09,Istepôs FA,,Campeonato Brasileiro 2013,,13,9,Coritiba Crocodiles,Istepôs FA
2013-12-14 14:00:00,João Pessoa Espectros,13 - 24,Coritiba Crocodiles,,Campeonato Brasileiro 2013,,13,24,Coritiba Crocodiles,Coritiba Crocodiles
2014-03-16 14:00:00,Paraná HP,00 - 10,Coritiba Crocodiles,,Campeonato Paranaense 2014,Centro Esportivo Fanático - Campo Largo/PR,0,10,Coritiba Crocodiles,Coritiba Crocodiles
2014-03-30 14:00:00,UFPR Legends,03 - 22,Coritiba Crocodiles,,Campeonato Paranaense 2014,UFPR Campus de Agrárias - Curitiba/PR,3,22,Coritiba Crocodiles,Coritiba Crocodiles
2014-04-12 14:00:00,Coritiba Crocodiles,27 - 00,Brown Spiders,,Campeonato Paranaense 2014,Clube Imperial - Curitiba/PR,27,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-04-26 14:00:00,Coritiba Crocodiles,49 - 03,Maringá Pyros,,Campeonato Paranaense 2014,Curitiba/PR,49,3,Coritiba Crocodiles,Coritiba Crocodiles
2014-05-17 14:00:00,Coritiba Crocodiles,70 - 00,Unicentro Knights,,Campeonato Paranaense 2014,Clube Imperial - Curitiba/PR,70,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-06-01 14:00:00,Foz do Iguaçu Black Sharks,02 - 21,Coritiba Crocodiles,,Campeonato Paranaense 2014,Foz do Iguaçu/PR,2,21,Coritiba Crocodiles,Coritiba Crocodiles
2014-06-15 14:00:00,PRC Guardian Saints,02 - 72,Coritiba Crocodiles,,Campeonato Paranaense 2014,Curitiba/PR,2,72,Coritiba Crocodiles,Coritiba Crocodiles
2014-07-05 15:00:00,Coritiba Crocodiles,07 - 06,Paraná HP,,Campeonato Paranaense 2014,,7,6,Coritiba Crocodiles,Coritiba Crocodiles
2014-08-03 14:00:00,Coritiba Crocodiles,22 - 00,Istepôs FA,,Superliga Nacional 2014,Curitiba/PR,22,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-08-30 18:30:00,Goiânia Rednecks,00 - 44,Coritiba Crocodiles,,Superliga Nacional 2014,SESI Ferreira Pacheco - Goiânia/GO,0,44,Coritiba Crocodiles,Coritiba Crocodiles
2014-09-14 14:00:00,Coritiba Crocodiles,45 - 09,Cuiabá Arsenal,,Superliga Nacional 2014,Clube Imperial - Curitiba/PR,45,9,Coritiba Crocodiles,Coritiba Crocodiles
2014-10-11 14:00:00,São Paulo Storm,34 - 65,Coritiba Crocodiles,,Superliga Nacional 2014,São Paulo/SP,34,65,Coritiba Crocodiles,Coritiba Crocodiles
2014-11-16 14:00:00,Coritiba Crocodiles,35 - 21,Cuiabá Arsenal,,Superliga Nacional 2014,,35,21,Coritiba Crocodiles,Coritiba Crocodiles
2014-12-14 16:00:00,Coritiba Crocodiles,23 - 17,João Pessoa Espectros,,Superliga Nacional 2014,,23,17,Coritiba Crocodiles,Coritiba Crocodiles
2015-03-01 15:00:18,Coritiba Crocodiles,31 - 06,Maringá Pyros,,Campeonato Paranaense 2015,Campo União Capão Raso - Curitiba/PR,31,6,Coritiba Crocodiles,Coritiba Crocodiles
2015-03-14 14:00:18,Coritiba Crocodiles,07 - 14,Paraná HP,,Campeonato Paranaense 2015,Centro Esportivo Fanático - Campo Largo/PR,7,14,Paraná HP,Coritiba Crocodiles
2015-03-29 14:00:18,Maringá Pyros,09 - 38,Paraná HP,,Campeonato Paranaense 2015,Estádio Municipal - Apucarana/PR,9,38,Paraná HP,Paraná HP
2015-04-12 14:00:18,Paraná HP,81 - 06,Unicentro Knights,,Campeonato Paranaense 2015,Centro Esportivo Fanático - Campo Largo/PR,81,6,Paraná HP,Paraná HP
2015-04-25 14:00:18,Paraná HP,107 - 00,Norte Paraná,,Campeonato Paranaense 2015,Centro Esportivo Fanático - Campo Largo/PR,107,0,Paraná HP,Paraná HP
2015-05-09 14:00:18,Paraná HP,21 - 06,Brown Spiders,,Campeonato Paranaense 2015,Centro Esportivo Fanático - Campo Largo/PR,21,6,Paraná HP,Paraná HP
2015-05-30 14:00:18,PRC Guardian Saints,00 - 92,Paraná HP,,Campeonato Paranaense 2015,Campo União Capão Raso - Curitiba/PR,0,92,Paraná HP,Paraná HP
2015-06-20 14:00:18,Paraná HP,12 - 21,Coritiba Crocodiles,,Campeonato Paranaense 2015,,12,21,Coritiba Crocodiles,Paraná HP
2015-08-01 14:00:15,Goiânia Rednecks,06 - 34,Coritiba Crocodiles,,Superliga Nacional 2015,,6,34,Coritiba Crocodiles,Coritiba Crocodiles
