Data,Mandante,Hor/Res,Visitante,Campo,Torneio,Fase,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2008-10-25 14:00:00,Brown Spiders,33 - 10,Coritiba Crocodiles,,Amistoso,,33,10,Brown Spiders, - 
2009-08-07 14:00:00,JEC Gladiators,08 - 21,Brown Spiders,,Torneio Touchdown 2009,,8,21,Brown Spiders,Brown Spiders
2009-08-22 14:00:00,Brown Spiders,20 - 23,Coritiba Crocodiles,,Torneio Touchdown 2009,,20,23,Coritiba Crocodiles,Brown Spiders
2009-09-12 14:00:00,Coritiba Crocodiles,31 - 21,JEC Gladiators,,Torneio Touchdown 2009,,31,21,Coritiba Crocodiles,Coritiba Crocodiles
2009-10-11 14:00:00,Coritiba Crocodiles,12 - 20,Brown Spiders,,Torneio Touchdown 2009,,12,20,Brown Spiders,Coritiba Crocodiles
2009-11-07 14:00:00,Brown Spiders,00 - 12,JEC Gladiators,,Torneio Touchdown 2009,,0,12,JEC Gladiators,Brown Spiders
2009-11-10 14:00:00,Istepôs FA,00 - 28,JEC Gladiators,,Campeonato Catarinense 2009,,0,28,JEC Gladiators,JEC Gladiators
2009-11-15 14:00:00,JEC Gladiators,41 - 06,Brusque Admirals,,Campeonato Catarinense 2009,,41,6,JEC Gladiators,JEC Gladiators
2010-04-07 14:00:00,JEC Gladiators,21 - 16,Jaraguá Breakers,,Campeonato Catarinense 2010,,21,16,JEC Gladiators,JEC Gladiators
2010-05-02 14:00:00,JEC Gladiators,51 - 06,Corupá Buffalos,,Campeonato Catarinense 2010,,51,6,JEC Gladiators,JEC Gladiators
2010-05-15 14:00:00,Jaraguá Breakers,07 - 54,JEC Gladiators,,Campeonato Catarinense 2010,,7,54,JEC Gladiators,JEC Gladiators
2010-05-23 14:00:00,Timbó Rex,00 - 28,JEC Gladiators,,Campeonato Catarinense 2010,,0,28,JEC Gladiators,JEC Gladiators
2010-05-30 14:00:00,JEC Gladiators,81 - 00,Tubarão Predadores,,Campeonato Catarinense 2010,,81,0,JEC Gladiators,JEC Gladiators
2010-06-13 14:00:00,Corupá Buffalos,14 - 35,JEC Gladiators,,Campeonato Catarinense 2010,,14,35,JEC Gladiators,JEC Gladiators
2010-06-27 14:00:00,JEC Gladiators,27 - 00,Timbó Rex,,Campeonato Catarinense 2010,,27,0,JEC Gladiators,JEC Gladiators
2010-07-10 14:00:00,Blumenau Riesen,00 - 33,JEC Gladiators,,Campeonato Catarinense 2010,,0,33,JEC Gladiators,JEC Gladiators
2010-08-21 14:00:00,Timbó Rex,27 - 34,JEC Gladiators,Timbó/SC,Liga Brasileira 2010,,27,34,JEC Gladiators,JEC Gladiators
2010-09-11 14:00:00,Coritiba Crocodiles,35 - 08,JEC Gladiators,Balsa Nova/PR,Liga Brasileira 2010,,35,8,Coritiba Crocodiles,JEC Gladiators
2010-10-09 14:00:00,Timbó Rex,00 - 49,Coritiba Crocodiles,Timbó/SC,Liga Brasileira 2010,,0,49,Coritiba Crocodiles,Coritiba Crocodiles
2010-10-23 14:00:00,Coritiba Crocodiles,24 - 00,Porto Alegre Pumpkins,Balsa Nova/PR,Liga Brasileira 2010,,24,0,Coritiba Crocodiles,Coritiba Crocodiles
2010-11-13 14:00:00,JEC Gladiators,22 - 17,Coritiba Crocodiles,Joinville/SC,Liga Brasileira 2010,,22,17,JEC Gladiators,Coritiba Crocodiles
2011-04-02 14:00:00,JEC Gladiators,59 - 00,Tubarão Predadores,,Campeonato Catarinense 2011,,59,0,JEC Gladiators,JEC Gladiators
2011-04-17 14:00:00,Brusque Admirals,16 - 50,JEC Gladiators,,Campeonato Catarinense 2011,,16,50,JEC Gladiators,JEC Gladiators
2011-05-01 14:00:00,JEC Gladiators,12 - 06,Jaraguá Breakers,,Campeonato Catarinense 2011,,12,6,JEC Gladiators,JEC Gladiators
2011-05-08 14:00:00,JEC Gladiators,21 - 06,Corupá Buffalos,,Campeonato Catarinense 2011,,21,6,JEC Gladiators,JEC Gladiators
2011-05-22 14:00:00,Tubarão Predadores,00 - 45,JEC Gladiators,,Campeonato Catarinense 2011,,0,45,JEC Gladiators,JEC Gladiators
2011-06-11 14:00:00,Blumenau Riesen,00 - 48,JEC Gladiators,,Campeonato Catarinense 2011,,0,48,JEC Gladiators,JEC Gladiators
2011-06-18 14:00:00,JEC Gladiators,66 - 06,Brusque Admirals,,Campeonato Catarinense 2011,,66,6,JEC Gladiators,JEC Gladiators
2011-06-26 14:00:00,Corupá Buffalos,07 - 20,JEC Gladiators,,Campeonato Catarinense 2011,,7,20,JEC Gladiators,JEC Gladiators
2011-08-13 14:00:00,Porto Alegre Pumpkins,18 - 53,JEC Gladiators,São Leopoldo/RS,Liga Brasileira 2011,,18,53,JEC Gladiators,JEC Gladiators
2011-09-03 14:00:00,JEC Gladiators,25 - 22,Cuiabá Arsenal,Joinville/SC,Liga Brasileira 2011,,25,22,JEC Gladiators,JEC Gladiators
2011-09-18 14:00:00,JEC Gladiators,21 - 41,Coritiba Crocodiles,Joinville/SC,Liga Brasileira 2011,,21,41,Coritiba Crocodiles,JEC Gladiators
2011-10-08 14:00:00,Istepôs FA,13 - 26,Coritiba Crocodiles,São José/SC,Liga Brasileira 2011,,13,26,Coritiba Crocodiles,Coritiba Crocodiles
2011-10-22 14:00:00,Santa Cruz Chacais,00 - 34,Coritiba Crocodiles,Santa Cruz do Sul/RS,Liga Brasileira 2011,,0,34,Coritiba Crocodiles,Coritiba Crocodiles
2011-11-06 14:00:00,Coritiba Crocodiles,20 - 14,Brown Spiders,,Liga Brasileira 2011,,20,14,Coritiba Crocodiles,Coritiba Crocodiles
2011-11-20 14:30:00,Coritiba Crocodiles,17 - 09,JEC Gladiators,,Liga Brasileira 2011,,17,9,Coritiba Crocodiles,Coritiba Crocodiles
2011-12-10 14:00:00,Coritiba Crocodiles,07 - 14,Fluminense FA,,Liga Brasileira 2011,,7,14,Fluminense FA,Coritiba Crocodiles
2012-07-14 14:00:00,Fluminense FA,49 - 00,Cabritos FA,Rio de Janeiro/RJ,Campeonato Brasileiro 2012,,49,0,Fluminense FA,Fluminense FA
2012-07-28 14:00:00,América Locomotiva,15 - 22,Fluminense FA,Belo Horizonte/MG,Campeonato Brasileiro 2012,,15,22,Fluminense FA,Fluminense FA
2012-08-26 14:00:00,Fluminense FA,44 - 19,Spartans Football,Estádio Ronaldo Nazário - Rio de Janeiro/RJ,Campeonato Brasileiro 2012,,44,19,Fluminense FA,Fluminense FA
2012-09-15 14:00:00,Brasil Devilz,07 - 47,Fluminense FA,Barueri/SP,Campeonato Brasileiro 2012,,7,47,Fluminense FA,Fluminense FA
2012-09-22 14:00:00,Fluminense FA,09 - 26,América Locomotiva,Rio de Janeiro/RJ,Campeonato Brasileiro 2012,,9,26,América Locomotiva,Fluminense FA
2012-10-21 14:00:00,São Paulo Storm,49 - 00,América Locomotiva,,Campeonato Brasileiro 2012,,49,0,São Paulo Storm,América Locomotiva
2012-10-27 14:00:00,Fluminense FA,25 - 20,São Paulo Storm,,Campeonato Brasileiro 2012,,25,20,Fluminense FA,São Paulo Storm
2012-11-11 14:00:00,Fluminense FA,15 - 17,Coritiba Crocodiles,,Campeonato Brasileiro 2012,,15,17,Coritiba Crocodiles,Fluminense FA
2012-11-24 14:00:00,Cuiabá Arsenal,31 - 23,Coritiba Crocodiles,,Campeonato Brasileiro 2012,,31,23,Cuiabá Arsenal,Coritiba Crocodiles
2013-06-29 14:00:00,Cuiabá Arsenal,57 - 00,Sinop Coyotes,Cuiabá/MT,Campeonato Brasileiro 2013,,57,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-07-13 14:00:00,Rio Preto Weilers,00 - 46,Cuiabá Arsenal,São José do Rio Preto/SP,Campeonato Brasileiro 2013,,0,46,Cuiabá Arsenal,Cuiabá Arsenal
2013-07-27 14:00:00,Sinop Coyotes,07 - 48,Cuiabá Arsenal,Sinop/MT,Campeonato Brasileiro 2013,,7,48,Cuiabá Arsenal,Cuiabá Arsenal
